main_id,sp_type,rvz_radvel,rvz_type,query_id
HD 125612,G3V,-18.241,v,HD 125612
HD  12648,G5,-12.3,v,HD  12648
HD 126525,G4V,13.071,v,HD 126525
HD  12661,K0V,-47.267,v,HD  12661
HD 126614,G8IV,-32.639,v,HD 126614
HD 127506,K3.5V,-18.69,v,HD 127506
HD 128311,K3V,-9.469,v,HD 128311
HD 128356,K2.5IV,39.918,v,HD 128356
HD 128717,F8,-4.85102,v,HD 128717
HD 129445,G6V,8.38,v,HD 129445
HD 130322,K0V,-12.388,v,HD 130322
HD 131496,K0,1.36,v,HD 131496
HD  13167,G3V,16.16,v,HD  13167
HD  13189,K1II-III,25.65,v,HD  13189
HD 132406,G0V,-37.803,v,HD 132406
HD 132563,F8III,,,HD 132563
HD 133131A,G2V,-16.052,v,HD 133131A
HD 133131B,G2V,-16.454,v,HD 133131B
HD 134060,G0VFe+0.4,37.921,v,HD 134060
HD 134606,G6IV,1.982,v,HD 134606
*  23 Lib,G6IV-V,5.078,v,HD 134987
HD 135344,A0V,,,HD 135344A
HD 135625,G3IV/V,-15.034,v,HD 135625
HD 135694,K0,-85.87,v,HD 135694
HD 135872,G5IV,-20.55,v,HD 135872
HD 136118,F7V,-2.89,v,HD 136118
* nu.02 Lup,G2-V,-68.78,v,HD 136352
HD 136418,G5,-34.25,v,HD 136418
HD 136925,G0,-48.877,v,HD 136925
HD  13724,G3/5V,20.504,v,HD  13724
HD 137388,K2IV,26.01,v,HD 137388
HD 137496,G5/6V,-2.65,v,HD 137496
HD  13808,K2V,41.026,v,HD  13808
HD  13908,F8,15.782,v,HD  13908
HD  13931,G0,30.566,v,HD  13931
HD 139357,K4III:,-8.22731,v,HD 139357
HD   1397,G5III/IV,30.75,v,HD   1397
HD  14067,G9III,-11.54,v,HD  14067
HD 140901,G7IV,-6.778,v,HD 140901
* lam Ser,G0-V,-66.395,v,HD 141004
HD 141399,K0,-21.917,v,HD 141399
HD 141937,G1V,-2.872,v,HD 141937
HD    142,F7V,6.0,v,HD    142
HD 142022,G9IV-V,-9.836,v,HD 142022A
HD 142245,K0,6.92,v,HD 142245
HD 142415,G1V,-11.75,v,HD 142415
HD 143105,F5,15.94,v,HD 143105
HD 143361,G6V,-0.531,v,HD 143361
HD 144899,G2V,-1.44,v,HD 144899
HD 145377,G3V,11.61,v,HD 145377
HD 145457,K0III,-2.85913,v,HD 145457
HD 145934,K0,-28.2,v,HD 145934
HD   1461,G3VFe0.5,-10.137,v,HD   1461
HD 147018,G8/K0V,-27.38,v,HD 147018
HD 147379,M1-Ve,-18.962,v,HD 147379
HD 147513,G5V,12.89,v,HD 147513
HD  14787,G5,-8.14,v,HD  14787
HD 147873,G1V,22.916,v,HD 147873
HD 148156,G0/2V,-1.806,v,HD 148156
HD 148164,F8,-64.731,v,HD 148164
HD 149026,G0IV,-18.0319,v,HD 149026
HD 149143,G3V,12.104,v,HD 149143
HD 149806,K0V,10.43,v,HD 149806
HD 150010,K2III,-35.570702,v,HD 150010
HD   1502,K0,-9.81,v,HD   1502
HD 150706,G0,-17.208,v,HD 150706
HD 151450,G2V,57.975,v,HD 151450
HD 152079,G6V,-21.338,v,HD 152079
HD 152581,K0,3.97,v,HD 152581
HD 152843,G0,10.0,v,HD 152843
HD  15337,K1V,-3.882,v,HD  15337
HD 153557,K3V,-6.65,v,HD 153557
HD 153950,F8V,33.158,v,HD 153950
HD 154088,K0IV-V,14.228,v,HD 154088
HD 154345,G9,-46.883,v,HD 154345
HD 154391,K1III,-16.14,v,HD 154391
HD 154672,G3IV,-3.849,v,HD 154672
HD 154857,G5V,28.093,v,HD 154857
HD 155193,F8IV,3.867,v,HD 155193
HD 155358,G0,-9.212,v,HD 155358
HD 155918,G2VFe-1.0CH-0.6,60.34,v,HD 155918
HD 156098,F6V,-39.28,v,HD 156098
HD 156279,K0,-20.144,v,HD 156279
HD 156411,G1V(w),-38.809,v,HD 156411
HD 156668,K3V,-44.45,v,HD 156668
HD 156846,G1V,-68.39,v,HD 156846
HD 158038,K1IV,19.761,v,HD 158038
HD 158259,G5VmF9,13.495,v,HD 158259
HD 158996,K5III,-8.53977,v,HD 158996
HD  15906,K1/2V,-3.697,v,HD  15906
HD 159243,G0,-22.751,v,HD 159243
HD 159868,G5V,-23.49,v,HD 159868
HD   1605,G8IV,9.93,v,HD   1605
* mu. Ara,G3IV-V,-9.416,v,HD 160691
HD 161178,G9III,6.424,v,HD 161178
*  79 Cet,G2V,-50.964,v,HD  16141
HD  16175,G2,21.76,v,HD  16175
HD 162020,K3V,-26.55,v,HD 162020
HD 163607,G5IV,-10.22,v,HD 163607
* lam02 For,G1V,11.149,v,HD  16417
HD 164509,G2V,13.68,v,HD 164509
HD 164595,G2V,2.048,v,HD 164595
HD 164604,K3.5Vk:,7.09,v,HD 164604
HD 164922,G9V,20.241,v,HD 164922
HD 165131,G3/5V,46.126,v,HD 165131
HD 165155,G8V,15.3,v,HD 165155
HD   1666,F7V,17.95,v,HD   1666
HD 166724,K0IV/V,-17.66,v,HD 166724
HD 167042,K1III,-17.6987,v,HD 167042
